point,source_sketch,part_x_in,part_y_in,part_z_in,model_x_in,model_y_in,model_z_in
upper_fore_inboard,3D Hardpoints Autocross (Anti),7.578740157480316,9.12498387190005,7.000000000000001,7.0,7.57874015748,-9.1249838719
upper_aft_inboard,3D Hardpoints Autocross (Anti),7.578740157480316,7.679582980047639,-4.999999999999998,-5.0,7.57874015748,-7.679582980048
lower_fore_inboard,3D Hardpoints Autocross (Anti),7.578740157480316,3.0950780224589094,5.0,5.0,7.57874015748,-3.095078022459
upper_outboard,3D Hardpoints Autocross (Anti),20.087448860000002,11.600000000000001,-1.026212672381764,-1.026212672382,20.08744886,-11.6
steering_outboard,3D Hardpoints Autocross (Anti),18.999999999999996,5.97,2.2500000000000013,2.25,19.0,-5.97
lower_aft_inboard,3D Hardpoints Autocross (Anti),7.578740157480316,3.918026346145449,-5.000000000000002,-5.0,7.57874015748,-3.918026346145
steering_inboard,3D Hardpoints Autocross (Anti),8.700000000000001,4.79,3.151133234317019,3.151133234317,8.7,-4.79
lower_outboard,3D Hardpoints Autocross (Anti),20.997261148543103,4.6,-0.2904830255220788,-0.290483025522,20.997261148543,-4.6
contact_patch,Wheel Front,22.5,0.0,0.0,0.0,22.5,-0.0
wheel_center,Wheel Front,22.5,8.0,0.0,0.0,22.5,-8.0
