point,source_file,source_sketch,part_x_in,part_y_in,part_z_in,model_x_in,model_y_in,model_z_in
upper_fore_inboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS INBOARD BRAKES,12.250000000000002,7.961149535978039,8.0,-53.0,12.25,-7.961149535978
upper_aft_inboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS INBOARD BRAKES,12.250000000000002,7.961149535978039,1.0,-60.0,12.25,-7.961149535978
lower_fore_inboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS INBOARD BRAKES,12.250000000000002,3.8523930168680223,7.0,-54.0,12.25,-3.852393016868
upper_outboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS INBOARD BRAKES,21.220527579835604,11.594139637217191,-1.069887969922219,-62.069887969922,21.220527579836,-11.594139637217
lower_outboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS INBOARD BRAKES,22.0,4.530828275191547,-1.4238495509672182,-62.423849550967,22.0,-4.530828275192
lower_aft_inboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS INBOARD BRAKES,12.250000000000002,3.8523930168680223,1.25,-59.75,12.25,-3.852393016868
toe_link_inboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS (ANTI + INBOARD BRAKES),11.9179527559,9.1211417323,1.1192913386,-59.8807086614,11.9179527559,-9.1211417323
toe_link_outboard,VD12-KIN-002-FVSA_REAR.SLDPRT,3D HARDPOINTS (ANTI + INBOARD BRAKES),20.7414173228,9.2622440945,-3.1677559055,-64.1677559055,20.7414173228,-9.2622440945
contact_patch,VD12-KIN-002-FVSA_REAR.SLDPRT,Wheel Front,22.5,0.0,0.0,-61.0,22.5,-0.0
wheel_center,VD12-KIN-002-FVSA_REAR.SLDPRT,Wheel Front,22.5,8.0,0.0,-61.0,22.5,-8.0
pushrod_outboard,codex-clipboard-d65068db-bb81-44ef-a2eb-9f46e6a4a965.png,User-confirmed ride-height joint,-19.477494,11.209784,-2.598527,-58.401473,19.477494,-11.209784
rocker_pushrod_pickup,codex-clipboard-081b5e6c-3321-402f-8400-51b557fdd918.png,User-confirmed ride-height joint,-16.654995,12.099762,-2.529146,-58.470854,16.654995,-12.099762
rocker_shock_pickup,codex-clipboard-aa6a198a-19b9-49a6-bf4b-786f5323ce43.png,User-supplied ride-height coordinate,-14.368667,15.080717,-2.296758,-58.703242,14.368667,-15.080717
shock_chassis_pickup,codex-clipboard-7aa85293-ae72-4df5-a569-be667db9b199.png,User-supplied ride-height coordinate,-6.898431,15.708241,-2.247838,-58.752162,6.898431,-15.708241
rocker_pivot_center,codex-clipboard-a70ce7ad-0bdc-4f37-a642-d0fbb163207d.png,User-supplied ride-height coordinate,-12.177737,11.16198,-2.602253,-58.397747,12.177737,-11.16198
