axle,joint,load_lbf,configured_bore_in,governing_corner,governing_case,note,single_shear_min,single_margin,double_shear_min,double_margin,single_existing_bore_margin,double_existing_bore_margin,dash_length
front,A-arm to pushrod / pullrod,365.98224441162427,0.1875,front_right,case_4_brake_corner,Full rod force; arm bracket bending and attachment welds require separate checks.,AN3,2.5207824464148025,AN3,6.041564892829605,2.5207824464148025,6.041564892829605,TBD - measure stack
front,Bellcrank pivot,301.0299164366241,,front_left,case_4_brake_corner_mirrored,"Force-only lower bound; pivot moment, axial load, bearing spacing and bolt bending must be resolved before selection.",AN3,3.2804511826492035,AN3,7.560902365298407,,,TBD - measure stack
front,Lower Aft to chassis,737.9426311188469,0.1875,front_right,case_2_braking,Configured inboard rod-end bore.,AN3,0.7461301292083999,AN3,2.4922602584168,0.7461301292083999,2.4922602584168,TBD - measure stack
front,Lower Fore to chassis,814.857139324395,0.25,front_left,case_2_braking,Configured inboard rod-end bore.,AN3,0.5813126002581033,AN3,2.1626252005162065,1.81122240045885,4.6224448009177,TBD - measure stack
front,Lower arm to upright (shared),852.2426826586311,,front_left,case_3_accel_corner_mirrored,Vector sum of both legs in each case; assumes one shared bolt. Bore and physical joint topology unconfirmed.,AN3,0.5119447641418702,AN3,2.0238895282837404,,,TBD - measure stack
front,Pushrod / pullrod to bellcrank,365.98224441162427,0.1875,front_right,case_4_brake_corner,Full rod axial force; confirm bearing bore and tab stack.,AN3,2.5207824464148025,AN3,6.041564892829605,2.5207824464148025,6.041564892829605,TBD - measure stack
front,Shock to bellcrank,340.1887583753225,,front_right,case_4_brake_corner,Shock-eye bore and mounting stack required.,AN3,2.7877320461081125,AN3,6.575464092216225,,,TBD - measure stack
front,Shock to chassis,340.1887583753225,,front_right,case_4_brake_corner,Shock-eye bore and mounting stack required.,AN3,2.7877320461081125,AN3,6.575464092216225,,,TBD - measure stack
front,Tie rod to chassis,143.79345333801936,0.25,front_right,case_2_braking,Configured inboard rod-end bore.,AN3,7.96107459631644,AN3,16.92214919263288,14.930799282340335,30.86159856468067,TBD - measure stack
front,Tie rod to upright,143.79345333801936,0.1875,front_right,case_2_braking,Configured outboard rod-end bore.,AN3,7.96107459631644,AN3,16.92214919263288,7.96107459631644,16.92214919263288,TBD - measure stack
front,Upper Aft to chassis,307.5015096359318,0.1875,front_right,case_4_brake_corner,Configured inboard rod-end bore.,AN3,3.1903659703964298,AN3,7.3807319407928595,3.1903659703964298,7.3807319407928595,TBD - measure stack
front,Upper Fore to chassis,294.3380714430363,0.1875,front_left,case_2_braking,Configured inboard rod-end bore.,AN3,3.377768242846262,AN3,7.755536485692524,3.377768242846262,7.755536485692524,TBD - measure stack
front,Upper arm to upright (shared),294.18320509264316,,front_right,case_4_brake_corner,Vector sum of both legs in each case; assumes one shared bolt. Bore and physical joint topology unconfirmed.,AN3,3.3800728237295354,AN3,7.760145647459071,,,TBD - measure stack
rear,A-arm to pushrod / pullrod,1123.5693258893687,0.1875,rear_right,case_3_accel_corner,Full rod force; arm bracket bending and attachment welds require separate checks.,AN3,0.1468307581323327,AN3,1.2936615162646654,0.1468307581323327,1.2936615162646654,TBD - measure stack
rear,Bellcrank pivot,536.3899205440706,,rear_right,case_3_accel_corner,"Force-only lower bound; pivot moment, axial load, bearing spacing and bolt bending must be resolved before selection.",AN3,1.4022521909377863,AN3,3.8045043818755726,,,TBD - measure stack
